source,target,matrix_count,matrices
Abundance of Bait,Goliath Grouper,1,PineIsl
Accuracy of recreational harvest data,Recreational quota overage,1,PanamaCity
Adult and Juvenile Mortality,Population Size,1,Group1
Adult and Juvenile Mortality,Predators Sharks and Lionfish1,1,Group1
Adult and Juvenile Mortality,Predators Sharks and Lionfish2,1,Group1
Adult Distribution,Predators Sharks and Lionfish1,1,Group1
Adult Distribution,Predators Sharks and Lionfish2,1,Group1
Adult Habitat,Fish Dist,1,StPete
Adult Habitat,Growth,1,StPete
Adult Habitat,Mating Behavior,1,StPete
Adult Habitat,Prey Availability,1,StPete
Age Truncation,Discard Mortality,1,Group1
Age Truncation,Recruitment,1,Group1
Allocation Price & Availability,Cost of Fishing,1,PineIsl
Allocation Price & Availability,Grouper Landings,1,PineIsl
Allocation Price & Availability,Snapper Population,1,PineIsl
Bad weather,Season length (recreation),1,PanamaCity
Bait abundance,Costs,1,PanamaCity
Bait abundance,Snapper/Grouper Population,1,PanamaCity
Boats From Other Areas,Fishing Pressure,1,PineIsl
Boats From Other Areas,Grouper Population,1,PineIsl
Charter Demand,Revenue,1,PineIsl
Coastal Dev,Estuarine Habitat,1,StPete
Coastal Dev,Fishing Pressure,1,StPete
Coastal Dev,Freshwater Input,1,StPete
Coastal Dev,Tourism,1,StPete
Cold Kills Water Temp,Gray Snapper Juvenile Growth,1,Group1
Common sense regulations,Compliance rate,1,PanamaCity
Common sense regulations,Enforcement level,1,PanamaCity
Common sense regulations,Fishing mortality,1,PanamaCity
Common sense regulations,Price of allocation,1,PanamaCity
Common sense regulations,Season length (recreation),1,PanamaCity
Common sense regulations,Severity of penalty,1,PanamaCity
Common sense regulations,Shark harvest,1,PanamaCity
Competitive Interactions,Snappers and Groupers,1,Group1
Compliance and Enforcement,Regulations,1,Madeira
Compliance rate,Recreational quota overage,1,PanamaCity
Coral Habitat Quality,Juvenile Mortality,1,PineIsl
Cost of Fishing,Revenue,1,PineIsl
Council process bias level,Common sense regulations,1,PanamaCity
Cultural Value Angler Prefernce,Rec and Com Fishing,1,Group1
Currents,Larval Dispersal,1,Group1
Currents,MS River Outflow Nutrients,1,Group1
Currents,Red Tide,2,PineIsl; StPete
Currents,Strong year class recruit,1,StPete
Currents,Thermocline,1,PineIsl
Currents,Water Quality,2,Group1; Madeira
Currents,Water Temp,1,Group1
Currents,Water Temperature,1,Madeira
Customer Satisfaction,Charter Demand,1,PineIsl
Customer Satisfaction,Tourism,1,PineIsl
Data,Regulations,1,Madeira
Data availability (recreational),Recreational quota overage,1,PanamaCity
Data timelines,Common sense regulations,1,PanamaCity
Daylight Hours,Migration Pattern,1,Madeira
Development,Estuary Health,1,Madeira
Discard Mortality,Fishing Efficiency,1,PineIsl
Discard mortality,Snapper/Grouper Population,1,PanamaCity
Distance to Fishing Grounds,Fuel Costs,1,PineIsl
Dolphin behavior,Discard mortality,1,PanamaCity
Domestic Price,Local Consumption,1,PineIsl
Domestic Price,Revenue,1,PineIsl
Economy,Fishing Participation,1,Madeira
Economy,Fuel Costs,1,Group1
Economy,Fuel Price,1,Madeira
Economy,Market Price,1,Group1
Economy,Rec and Com Fishing,1,Group1
Egg Quality,Recruitment,1,Group1
Enforcement level,Compliance rate,1,PanamaCity
Equality of representation,Council process bias level,1,PanamaCity
Estuarine Habitat,Juvenile Gag,1,StPete
Estuarine Habitat,Prey Availability,1,StPete
Estuary Health,Forage Fish and Crustaceans,1,Madeira
Estuary Health,Water Quality,1,Madeira
Everglades,Water Quality,1,Madeira
Exit fishery or part time fishing,Community Impacts,1,PineIsl
F,Snapper/ Grouper Pop,1,StPete
Fish Dist,Reproductive Output,1,StPete
Fishing During Spawning,Grouper Population,1,PineIsl
Fishing Efficiency,Fishing Participation,1,Madeira
Fishing Efficiency,Grouper Landings,1,PineIsl
Fishing Effort,Age Truncation,1,Group1
Fishing Effort,Discard Mortality,1,Group1
Fishing Effort,Snapper & Grouper,1,Madeira
Fishing mortality,Snapper/Grouper Population,1,PanamaCity
Fishing Participation,Fishing Effort,1,Madeira
Fishing Pressure,Grouper Population,1,PineIsl
Fishing Pressure,Juvanescence,1,StPete
Fishing Pressure,Snapper/ Grouper Pop,1,StPete
Fixed Costs,Cost of Fishing,1,PineIsl
Forage Fish and Crustaceans,Lionfish,1,Madeira
Forage Fish and Crustaceans,Red Snapper,1,Madeira
Forage Fish and Crustaceans,Snapper & Grouper,1,Madeira
Freshwater Input,Nearshore Temp,1,StPete
Freshwater Input,Pollution,1,StPete
Freshwater Input,Red Tide,1,StPete
Fuel Costs,Cost of Fishing,1,PineIsl
Fuel Costs,Fishing Effort,1,Group1
Fuel Costs,Market Price,1,Group1
Fuel Costs,Num Rec Anglers (Unknown),1,PineIsl
Fuel Price,Fishing Effort,1,Madeira
Fuel Price,Fishing Pressure,1,StPete
Funding Data Collection,Managment,1,Group1
FW Pulses MS River,Bait abundance,1,PanamaCity
Gary Water Discharge Sewage,Lake OK Discharge,1,PineIsl
Gary Water Discharge Sewage,Water Quality,1,PineIsl
Gear loss,Costs,1,PanamaCity
Goliath Grouper,Coral Habitat Quality,1,PineIsl
Goliath Grouper,Juvenile Mortality,1,PineIsl
Goverment Regulation,Allocation Price & Availability,1,PineIsl
Goverment Regulation,Fishing During Spawning,1,PineIsl
Goverment Regulation,Goliath Grouper,1,PineIsl
