matrix,source,target
Group1,Adult and Juvenile Mortality,Population Size
Group1,Adult and Juvenile Mortality,Predators Sharks and Lionfish1
Group1,Adult and Juvenile Mortality,Predators Sharks and Lionfish2
Group1,Adult Distribution,Predators Sharks and Lionfish1
Group1,Adult Distribution,Predators Sharks and Lionfish2
Group1,Age Truncation,Discard Mortality
Group1,Age Truncation,Recruitment
Group1,Cold Kills Water Temp,Gray Snapper Juvenile Growth
Group1,Competitive Interactions,Snappers and Groupers
Group1,Cultural Value Angler Prefernce,Rec and Com Fishing
Group1,Currents,Larval Dispersal
Group1,Currents,MS River Outflow Nutrients
Group1,Currents,Water Quality
Group1,Currents,Water Temp
Group1,Economy,Fuel Costs
Group1,Economy,Market Price
Group1,Economy,Rec and Com Fishing
Group1,Egg Quality,Recruitment
Group1,Fishing Effort,Age Truncation
Group1,Fishing Effort,Discard Mortality
Group1,Fuel Costs,Fishing Effort
Group1,Fuel Costs,Market Price
Group1,Funding Data Collection,Managment
Group1,Gray Snapper Juvenile Growth,Adult and Juvenile Mortality
Group1,Growth,Adult and Juvenile Mortality
Group1,Growth,Egg Quality
Group1,Growth,Population Size
Group1,Habitat,Adult and Juvenile Mortality
Group1,Habitat,Adult Distribution
Group1,Imports,Market Price
Group1,Juvenile gag,Gray Snapper Juvenile Growth
Group1,Larval Dispersal,Recruitment
Group1,Loop Current Intrusion,Red Tide
Group1,Loop Current Intrusion,Water Temp
Group1,Managment,Discard Mortality
Group1,Managment,Rec and Com Fishing
Group1,Market Price,Discard Mortality
Group1,Market Price,Fishing Effort
Group1,MS River Outflow Nutrients,Primary Produciton
Group1,Oil Spills,Fuel Costs
Group1,Oil Spills,Water Quality
Group1,Politics,Economy
Group1,Politics,Funding Data Collection
Group1,Politics,Managment
Group1,Population Size,Discard Mortality
Group1,Population Size,Fishing Effort
Group1,Predators Sharks and Lionfish1,Adult and Juvenile Mortality
Group1,Predators Sharks and Lionfish1,Adult Distribution
Group1,Predators Sharks and Lionfish1,Prey Avail Pinfish Abundance
Group1,Predators Sharks and Lionfish2,Adult and Juvenile Mortality
Group1,Predators Sharks and Lionfish2,Adult Distribution
Group1,Predators Sharks and Lionfish2,Prey Avail Pinfish Abundance
Group1,Prey Avail Pinfish Abundance,Adult and Juvenile Mortality
Group1,Prey Avail Pinfish Abundance,Egg Quality
Group1,Prey Avail Pinfish Abundance,Growth
Group1,Primary Produciton,Prey Avail Pinfish Abundance
Group1,Rec and Com Fishing,Fishing Effort
Group1,Rec and Com Fishing,Funding Data Collection
Group1,Recruitment,Population Size
Group1,Red Snapper Juveniles,Adult and Juvenile Mortality
Group1,Red Tide,Adult and Juvenile Mortality
Group1,Red Tide,Adult Distribution
Group1,Red Tide,Fishing Effort
Group1,Red Tide,Predators Sharks and Lionfish1
Group1,Red Tide,Predators Sharks and Lionfish2
Group1,Red Tide,Prey Avail Pinfish Abundance
Group1,Red Tide,Water Quality
Group1,Shrimp Bycatch,Red Snapper Juveniles
Group1,Water Quality,Adult and Juvenile Mortality
Group1,Water Quality,Habitat
Group1,Water Quality,Red Tide
Group1,Water Temp,Adult Distribution
Group1,Water Temp,Currents
Group1,Water Temp,Discard Mortality
Group1,Water Temp,Loop Current Intrusion
Group1,Water Temp,Red Tide
Group1,Water Temp,Water Quality
Madeira,Compliance and Enforcement,Regulations
Madeira,Currents,Water Quality
Madeira,Currents,Water Temperature
Madeira,Data,Regulations
Madeira,Daylight Hours,Migration Pattern
Madeira,Development,Estuary Health
Madeira,Economy,Fishing Participation
Madeira,Economy,Fuel Price
Madeira,Estuary Health,Forage Fish and Crustaceans
Madeira,Estuary Health,Water Quality
Madeira,Everglades,Water Quality
Madeira,Fishing Efficiency,Fishing Participation
Madeira,Fishing Effort,Snapper & Grouper
Madeira,Fishing Participation,Fishing Effort
Madeira,Forage Fish and Crustaceans,Lionfish
Madeira,Forage Fish and Crustaceans,Red Snapper
Madeira,Forage Fish and Crustaceans,Snapper & Grouper
Madeira,Fuel Price,Fishing Effort
Madeira,Habitat Condition,Forage Fish and Crustaceans
Madeira,Human Population,Fishing Participation
Madeira,Human Population,Water Quality
Madeira,Hurricanes,Fishing Efficiency
Madeira,Hurricanes,Fuel Price
Madeira,Hurricanes,Recruitment
Madeira,Hurricanes,Red Tide
Madeira,Hurricanes,Tourism Social Media
Madeira,IFQ Permit Costs,Fishing Participation
Madeira,Lionfish,Forage Fish and Crustaceans
Madeira,Lionfish,Habitat Condition
Madeira,Lionfish,Snapper & Grouper
Madeira,Location of Fishing,Fishing Effort
Madeira,Loop current,Currents
Madeira,Loop current,Water Temperature
Madeira,Migration Pattern,Vulnerability to Fishing
Madeira,Pollutants,Water Quality
Madeira,Predators (Sharks/Goliath),Fishing Efficiency
Madeira,Predators (Sharks/Goliath),Lionfish
Madeira,Predators (Sharks/Goliath),Red Snapper
Madeira,Predators (Sharks/Goliath),Snapper & Grouper
Madeira,Recruitment,Snapper & Grouper
Madeira,Red Tide,Habitat Condition
Madeira,Red Tide,Location of Fishing
Madeira,Red Tide,Regulations
Madeira,Red Tide,Snapper & Grouper
Madeira,Red Tide,Snook and Red Fish
Madeira,Red Tide,Tourism Social Media
Madeira,Regulations,Fishing Efficiency
Madeira,Regulations,Fishing Participation
Madeira,Regulations,IFQ Permit Costs
Madeira,Sewage,Water Quality
Madeira,Snapper & Grouper,Fishing Participation
Madeira,Snapper & Grouper,Regulations
Madeira,Snapper & Grouper,Target Species
Madeira,Snook and Red Fish,Target Species
Madeira,Target Species,Fishing Effort
Madeira,Technology,Fishing Efficiency
Madeira,Technology,Fishing Participation
Madeira,Technology,Location of Fishing
Madeira,Technology,Vulnerability to Fishing
Madeira,Tourism Social Media,Fishing Participation
Madeira,Vulnerability to Fishing,Fishing Effort
Madeira,Water Quality,Fishing Effort
Madeira,Water Quality,Red Tide
Madeira,Water Temperature,Forage Fish and Crustaceans
Madeira,Water Temperature,Migration Pattern
Madeira,Water Temperature,Water Quality
PanamaCity,Accuracy of recreational harvest data,Recreational quota overage
PanamaCity,Bad weather,Season length (recreation)
PanamaCity,Bait abundance,Costs
PanamaCity,Bait abundance,Snapper/Grouper Population
PanamaCity,Common sense regulations,Compliance rate
PanamaCity,Common sense regulations,Enforcement level
PanamaCity,Common sense regulations,Fishing mortality
PanamaCity,Common sense regulations,Price of allocation
PanamaCity,Common sense regulations,Season length (recreation)
