,Disease,Water Temp,Adult Distribution,Water Quality,Habitat,Red Tide,Loop Current Intrusion,Predators Sharks and Lionfish1,Predators Sharks and Lionfish2,Larval Dispersal,Currents,MS River Outflow Nutrients,Primary Produciton,Prey Avail Pinfish Abundance,Growth,Egg Quality,Recruitment,Population Size,Age Truncation,Fishing Effort,Adult and Juvenile Mortality,Red Snapper Juveniles,Shrimp Bycatch,Gray Snapper Juvenile Growth,Juvenile gag,Snappers and Groupers,Competitive Interactions,Cold Kills Water Temp,Discard Mortality,Imports,Market Price,Fuel Costs,Managment,Rec and Com Fishing,Economy,Cultural Value Angler Prefernce,Funding Data Collection,Politics,Oil Spills
Disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Temp,,,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Adult Distribution,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Quality,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Habitat,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Red Tide,,,1,1,,,,1,1,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,
Loop Current Intrusion,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predators Sharks and Lionfish1,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
Predators Sharks and Lionfish2,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
Larval Dispersal,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Currents,,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS River Outflow Nutrients,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Produciton,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Prey Avail Pinfish Abundance,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,
Growth,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,
Egg Quality,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Recruitment,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Population Size,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
Age Truncation,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
Fishing Effort,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,
Adult and Juvenile Mortality,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Red Snapper Juveniles,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Shrimp Bycatch,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Gray Snapper Juvenile Growth,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Juvenile gag,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Snappers and Groupers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Competitive Interactions,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Cold Kills Water Temp,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Discard Mortality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Market Price,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
Fuel Costs,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,
Managment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
Rec and Com Fishing,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,
Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,
Cultural Value Angler Prefernce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Funding Data Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,
Oil Spills,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
