,Development,Sewage,Pollutants,Currents,Water Temperature,Loop current,Forage Fish and Crustaceans,Red Tide,Tourism Social Media,Human Population,Fishing Participation,Compliance and Enforcement,Regulations,Data,"IFQ Permit
Costs",Economy,Fuel Price,Hurricanes,Fishing Efficiency,Technology,Fishing Effort,"Location of
Fishing","Target 
Species","Vulnerability to
Fishing","Migration 
Pattern","Daylight 
Hours",Habitat Condition,Red Snapper,Lionfish,"Predators
(Sharks/Goliath)",Snapper & Grouper,"Snook and
Red Fish",Recruitment,Water Quality,Estuary Health,Everglades
Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Sewage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Pollutants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Currents,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Water Temperature,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,
Loop current,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forage Fish and Crustaceans,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,
Red Tide,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,1,,,,1,1,,,,
Tourism Social Media,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Human Population,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,
Fishing Participation,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Compliance and Enforcement,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Regulations,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,
Data,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"IFQ Permit
Costs",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Economy,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
Fuel Price,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Hurricanes,,,,,,,,1,1,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,
Fishing Efficiency,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Technology,,,,,,,,,,,1,,,,,,,,1,,,1,,1,,,,,,,,,,,,
Fishing Effort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"Location of
Fishing",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"Target 
Species",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"Vulnerability to
Fishing",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"Migration 
Pattern",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
"Daylight 
Hours",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Habitat Condition,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Snapper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionfish,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,
"Predators
(Sharks/Goliath)",,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,1,,,,,
Snapper & Grouper,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,
"Snook and
Red Fish",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Recruitment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Water Quality,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Estuary Health,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Everglades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
