,Council process bias level,Equality of representation,Opportunity to give input,Common sense regulations,Data timelines,Local supply,Market demand,Price of fish,Permits/revenue for management,Price of allocation,Enforcement level,Compliance rate,Severity of penalty,Season length (recreation),Bad weather,Shark harvest,Fishing mortality,Tourism,Local culture/heritage (fishing during weekends),Snapper/Grouper Population,Hook size,Turtle bycatch,Shark Population Abundance,Shark bites,Shark fecundity,Data availability (recreational),Technology,Recreational quota overage,Accuracy of recreational harvest data,Dolphin behavior,Discard mortality,Bait abundance,Lionfish,Pollution (red tide),Costs,Gear loss,FW Pulses MS River
Council process bias level,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equality of representation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opportunity to give input,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common sense regulations,,,,,,,,,,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,
Data timelines,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local supply,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market demand,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price of fish,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Permits/revenue for management,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Price of allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enforcement level,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Severity of penalty,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Season length (recreation),,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,
Bad weather,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Shark harvest,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Fishing mortality,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Tourism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local culture/heritage (fishing during weekends),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapper/Grouper Population,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Hook size,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Turtle bycatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shark Population Abundance,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,1,
Shark bites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shark fecundity,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Data availability (recreational),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Technology,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Recreational quota overage,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Accuracy of recreational harvest data,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Dolphin behavior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Discard mortality,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Bait abundance,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,
Lionfish,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,
Pollution (red tide),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gear loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
FW Pulses MS River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
