,Freshwater Input,Pollution,Nearshore Temp,Red Tide,Currents,Fish Dist,Reproductive Output,Strong year class recruit,Juvenile Gag,Estuarine Habitat,Coastal Dev,Mating Behavior,Fishing Pressure,"Seasons, Areas Licenses",Tourism,Weather,Fuel Price,Market Price,Imports,Hurricanes,Adult Habitat,Offshore Temperature,Upwelling (low DO),Oil Spills,Prey Availability,Growth,Snapper/ Grouper Pop,Juvanescence,Shrimping (trawling),F,M (0.2)
Freshwater Input,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollution,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nearshore Temp,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Tide,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Currents,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Fish Dist,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Reproductive Output,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Strong year class recruit,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Juvenile Gag,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Estuarine Habitat,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,
Coastal Dev,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,
Mating Behavior,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Fishing Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
"Seasons, Areas Licenses",,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
Tourism,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
Weather,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
Fuel Price,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Market Price,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Imports,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Hurricanes,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
Adult Habitat,,,,,,1,,,,,,1,,,,,,,,,,,,,1,1,,,,,
Offshore Temperature,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Upwelling (low DO),,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,
Oil Spills,,,,,,1,,,,,,,1,,,,,,,,1,,,,1,,,,,,
Prey Availability,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Snapper/ Grouper Pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juvanescence,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,
Shrimping (trawling),,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
M (0.2),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
